ALT,BUY,LIMIT,IOC,1796,0.0997083,0.0983087,FILLED,330,1796,1723973163448,179.0761068
RARE,BUY,LIMIT,IOC,20,0.2997315,0.2939000,FILLED,20,20,1723973166111,5.99463
RARE,BUY,LIMIT,IOC,12426,0.2999445,0.2943741,FILLED,920,12426,1723973167366,3727.110357
ALPHA,BUY,LIMIT,IOC,1231,0.05669,0.05585,FILLED,1231,1231,1723973178438,69.78538999999999
RARE,BUY,LIMIT,IOC,103,0.3002446,0.2947000,FILLED,103,103,1723973178523,30.9251938
RARE,BUY,LIMIT,IOC,15172,0.3004695,0.2948700,FILLED,10622,15172,1723973180075,4558.723254
RIF,SELL,LIMIT,IOC,3837,0.0717573,0.0728400,FILLED,3610,3837,1723973180341,275.3327601
ETHFI,SELL,LIMIT,IOC,185.9,1.3669668,1.3870000,FILLED,112.5,185.9,1723973180341,254.11912812
1000PEPE,SELL,LIMIT,IOC,39015,0.0074208,0.0074696,FILLED,4002,39015,1723973180341,289.522512
SYN,BUY,LIMIT,IOC,242,0.7727195,0.7622000,FILLED,242,242,1723973180341,186.998119
XRP,SELL,LIMIT,IOC,288.3,0.5642,0.5663,FILLED,288.3,288.3,1723973180341,162.65886
RARE,BUY,LIMIT,IOC,96,0.3007243,0.2945000,FILLED,96,96,1723973181088,28.8695328
RARE,BUY,LIMIT,IOC,87,0.3008121,0.2952000,FILLED,87,87,1723973184083,26.1706527
BTC,SELL,LIMIT,IOC,0.002,59438.99,59676.20,FILLED,0.002,0.002,1723973184297,118.87798
LISTA,BUY,LIMIT,IOC,120,0.4370555,0.4312000,FILLED,120,120,1723973184297,52.44666
RARE,BUY,LIMIT,IOC,605,0.3008696,0.2952000,FILLED,605,605,1723973187085,182.02610800000002
BNB,BUY,LIMIT,IOC,0.06,541.426,538.690,FILLED,0.06,0.06,1723973187546,32.48556
WLD,SELL,LIMIT,IOC,59,1.4922969,1.4996000,FILLED,59,59,1723973187546,88.0455171
RARE,BUY,LIMIT,IOC,45,0.3009637,0.2951000,FILLED,45,45,1723973188136,13.5433665
BNB,BUY,LIMIT,IOC,2.33,541.385,538.690,FILLED,0.21,2.33,1723973190045,1261.42705
RARE,BUY,LIMIT,IOC,5462,0.3011024,0.2954000,FILLED,3362,5462,1723973190045,1644.6213088
TIA,SELL,LIMIT,IOC,109,5.0161754,5.0650000,FILLED,25,109,1723973190045,546.7631186
WIF,SELL,LIMIT,IOC,223.4,1.3929322,1.4138000,FILLED,26.8,223.4,1723973190045,311.18105348
ALT,BUY,LIMIT,IOC,104977,0.1001509,0.0984918,FILLED,68073,104977,1723973190383,10513.5410293
RARE,BUY,LIMIT,IOC,337,0.3013039,0.2954000,FILLED,337,337,1723973191104,101.5394143
RARE,BUY,LIMIT,IOC,3484,0.3013931,0.2955115,FILLED,62,3484,1723973192107,1050.0535604000002
ETH,BUY,LIMIT,IOC,1.000,2630.68,2621.37,FILLED,1.000,1.000,1723973192574,2630.68
SYN,BUY,LIMIT,IOC,2730,0.7745465,0.7632401,FILLED,1129,2730,1723973193398,2114.511945
DYDX,BUY,LIMIT,IOC,1851.8,1.092,1.082,FILLED,1851.8,1851.8,1723973193398,2022.1656
RARE,BUY,LIMIT,IOC,1278,0.3015642,0.2957000,FILLED,669,1278,1723973195053,385.3990476
SYN,BUY,LIMIT,IOC,110,0.7749472,0.7626172,FILLED,19,110,1723973198281,85.244192
RARE,BUY,LIMIT,IOC,43357,0.3026573,0.2956606,FILLED,1733,43357,1723973199046,13122.312556100002
WIF,SELL,LIMIT,IOC,71.2,1.3964012,1.4137000,FILLED,10.5,71.2,1723973199229,99.42376544
RARE,BUY,LIMIT,IOC,196,0.3018583,0.2960000,FILLED,196,196,1723973200056,59.1642268
RARE,BUY,LIMIT,IOC,19,0.3020736,0.2962000,FILLED,19,19,1723973201079,5.7393984
RARE,BUY,LIMIT,IOC,3386,0.3021640,0.2962000,FILLED,3386,3386,1723973202317,1023.127304
RARE,BUY,LIMIT,IOC,400,0.3021929,0.2958000,FILLED,400,400,1723973204039,120.87715999999999
BANANA,BUY,LIMIT,IOC,5.5,57.1621841,56.3954727,FILLED,2.4,5.5,1723973204195,314.39201255
AUCTION,BUY,LIMIT,IOC,25.36,17.340444,17.093734,FILLED,20.60,25.36,1723973204234,439.75365984
BOME,SELL,LIMIT,IOC,74748,0.0066413,0.0067300,FILLED,57222,74748,1723973204236,496.4238924
